Statistical profiling result from prof/winston.isolate.log, (731 ticks, 25 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  T v8::internal::compiler::CommonOperatorBuilder::Branch(v8::internal::compiler::BranchHint, v8::internal::compiler::IsSafetyCheck)
      1    0.1%    0.1%  T v8::internal::compiler::BytecodeLivenessMap::InitializeLiveness(int, int, v8::internal::Zone*)
      1    0.1%    0.1%  T v8::internal::compiler::BitsetType::Lub(double, double)
      1    0.1%    0.1%  T v8::internal::Zone::New(unsigned long)
      1    0.1%    0.1%  T v8::internal::V8::GetCurrentPlatform()
      1    0.1%    0.1%  T v8::internal::String::GetFlatContent()
      1    0.1%    0.1%  T v8::internal::StackFrame::GetCallerState(v8::internal::StackFrame::State*) const
      1    0.1%    0.1%  T v8::internal::SharedFunctionInfo::DebugName()
      1    0.1%    0.1%  T v8::internal::Script::InitLineEnds(v8::internal::Handle<v8::internal::Script>)
      1    0.1%    0.1%  T v8::internal::Script::GetColumnNumber(v8::internal::Handle<v8::internal::Script>, int)
      1    0.1%    0.1%  T v8::internal::ScopeInfo::HasFunctionName() const
      1    0.1%    0.1%  T v8::internal::Scope::Scope(v8::internal::Zone*, v8::internal::Scope*, v8::internal::ScopeType)
      1    0.1%    0.1%  T v8::internal::Scope::LookupRecursive(v8::internal::ParseInfo*, v8::internal::VariableProxy*, v8::internal::Scope*)
      1    0.1%    0.1%  T v8::internal::Scope::AsDeclarationScope()
      1    0.1%    0.1%  T v8::internal::Runtime_StoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.1%    0.1%  T v8::internal::Runtime_RemoveArrayHoles(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.1%    0.1%  T v8::internal::RegExpStackScope::~RegExpStackScope()
      1    0.1%    0.1%  T v8::internal::RegExpImpl::IrregexpExecRaw(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, int, int*, int)
      1    0.1%    0.1%  T v8::internal::RegExpImpl::IrregexpExec(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, int, v8::internal::Handle<v8::internal::RegExpMatchInfo>)
      1    0.1%    0.1%  T v8::internal::NewSpace::AddFreshPage()
      1    0.1%    0.1%  T v8::internal::Map::WeakCellForMap(v8::internal::Handle<v8::internal::Map>)
      1    0.1%    0.1%  T v8::internal::Map::GetOrCreatePrototypeChainValidityCell(v8::internal::Handle<v8::internal::Map>, v8::internal::Isolate*)
      1    0.1%    0.1%  T v8::internal::Logger::ApiObjectAccess(char const*, v8::internal::JSObject*)
      1    0.1%    0.1%  T v8::internal::Logger::ApiEntryCall(char const*)
      1    0.1%    0.1%  T v8::internal::LayoutDescriptor::IsTagged(int, int, int*)
      1    0.1%    0.1%  T v8::internal::JsonStringifier::Stringify(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
      1    0.1%    0.1%  T v8::internal::JsonStringifier::SerializeSmi(v8::internal::Smi*)
      1    0.1%    0.1%  T v8::internal::JsonStringifier::JsonStringifier(v8::internal::Isolate*)
      1    0.1%    0.1%  T v8::internal::JSStackFrame::IsToplevel()
      1    0.1%    0.1%  T v8::internal::JSStackFrame::IsNative()
      1    0.1%    0.1%  T v8::internal::JSReceiver::SetProperties(v8::internal::HeapObject*)
      1    0.1%    0.1%  T v8::internal::JSObject::GetElementsAccessor()
      1    0.1%    0.1%  T v8::internal::JSFunction::GetName(v8::internal::Handle<v8::internal::JSFunction>)
      1    0.1%    0.1%  T v8::internal::Isolate::CaptureSimpleStackTrace(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::FrameSkipMode, v8::internal::Handle<v8::internal::Object>)
      1    0.1%    0.1%  T v8::internal::IsMoreGeneralElementsKindTransition(v8::internal::ElementsKind, v8::internal::ElementsKind)
      1    0.1%    0.1%  T v8::internal::InnerPointerToCodeCache::GetCacheEntry(unsigned char*)
      1    0.1%    0.1%  T v8::internal::IncrementalStringBuilder::IncrementalStringBuilder(v8::internal::Isolate*)
      1    0.1%    0.1%  T v8::internal::IncrementalStringBuilder::Finish()
      1    0.1%    0.1%  T v8::internal::IncrementalStringBuilder::Extend()
      1    0.1%    0.1%  T v8::internal::IncrementalStringBuilder::AppendString(v8::internal::Handle<v8::internal::String>)
      1    0.1%    0.1%  T v8::internal::IdentityMapBase::LookupOrInsert(v8::internal::Object*)
      1    0.1%    0.1%  T v8::internal::Heap::Scavenge()
      1    0.1%    0.1%  T v8::internal::Heap::CreateFillerObjectAt(unsigned char*, int, v8::internal::ClearRecordedSlots, v8::internal::ClearFreedMemoryMode)
      1    0.1%    0.1%  T v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::Rehash(v8::internal::StringTable*)
      1    0.1%    0.1%  T v8::internal::FlatStringReader::FlatStringReader(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
      1    0.1%    0.1%  T v8::internal::Factory::NewOneByteInternalizedString(v8::internal::Vector<unsigned char const>, unsigned int)
      1    0.1%    0.1%  T v8::internal::Factory::NewMap(v8::internal::InstanceType, int, v8::internal::ElementsKind, int)
      1    0.1%    0.1%  T v8::internal::Factory::NewJSArrayStorage(v8::internal::Handle<v8::internal::JSArray>, int, int, v8::internal::ArrayStorageAllocationMode)
      1    0.1%    0.1%  T v8::internal::Factory::NewFeedbackMetadata(int)
